Coins,price,24h_Volume,market_cap
Bitcoin,"$16,729.41","$11,070,742,607","$321,773,630,725"
Ethereum,"$1,181.71","$3,145,513,515","$142,369,760,458"
Tether,$1.00,"$15,523,765,240","$66,185,984,734"
USD Coin,$0.999803,"$1,106,238,201","$44,954,861,958"
BNB,$247.07,"$861,905,325","$40,316,849,368"
Binance USD,$1.00,"$3,271,287,218","$18,440,351,961"
XRP,$0.352540,"$388,204,551","$17,748,582,184"
Dogecoin,$0.078462885398,"$414,349,087","$10,767,185,821"
Cardano,$0.265400,"$229,290,467","$9,304,646,395"
Polygon,$0.813441,"$191,998,216","$7,282,651,639"
OKB,$22.38,"$11,564,766","$5,631,348,077"
Lido Staked Ether,"$1,167.88","$6,992,519","$5,620,726,851"
Polkadot,$4.66,"$120,817,504","$5,512,045,967"
Dai,$0.999080,"$106,542,553","$5,143,874,019"
Shiba Inu,$0.000008536297,"$307,805,732","$5,036,286,824"
TRON,$0.053953257514,"$235,749,857","$4,964,621,156"
Litecoin,$64.34,"$426,565,892","$4,619,299,771"
Solana,$12.43,"$131,386,361","$4,558,518,732"
Uniswap,$5.37,"$44,909,122","$4,045,653,012"
Toncoin,$2.74,"$32,162,394","$4,039,057,615"
Avalanche,$11.90,"$79,423,685","$3,703,290,286"
LEO Token,$3.96,"$374,534","$3,697,503,206"
Wrapped Bitcoin,"$16,690.23","$60,465,561","$3,102,049,512"
Chainlink,$5.99,"$124,008,093","$2,945,461,794"
Monero,$143.45,"$51,545,802","$2,603,034,242"
Cosmos Hub,$8.90,"$48,441,567","$2,601,062,569"
Ethereum Classic,$16.06,"$58,805,888","$2,222,131,749"
Stellar,$0.076595860812,"$25,968,109","$1,997,191,310"
Bitcoin Cash,$102.34,"$335,428,262","$1,970,646,708"
Quant,$109.15,"$25,275,335","$1,587,243,827"
Cronos,$0.056454507096,"$8,308,519","$1,425,008,457"
Algorand,$0.193441,"$59,841,799","$1,379,136,148"
ApeCoin,$3.49,"$96,393,851","$1,261,397,876"
VeChain,$0.016800819652,"$29,774,694","$1,217,794,669"
NEAR Protocol,$1.37,"$49,988,643","$1,157,492,277"
Hedera,$0.044401505021,"$10,235,524","$1,105,981,849"
Filecoin,$3.12,"$123,771,286","$1,072,252,866"
Frax,$0.998932,"$4,755,913","$1,021,847,413"
Internet Computer,$3.65,"$15,006,743","$1,019,768,738"
EOS,$0.884816,"$47,158,332","$962,630,273"
MultiversX (Elrond),$38.95,"$13,281,993","$933,959,853"
Huobi,$5.53,"$5,057,646","$896,323,935"
Bitcoin SV,$45.26,"$12,587,596","$871,628,029"
Terra Luna Classic,$0.000142276659,"$44,244,719","$849,714,318"
Pax Dollar,$0.997363,"$1,296,832","$827,103,676"
Lido DAO,$0.981837,"$10,082,008","$808,612,057"
Flow,$0.761985,"$13,632,253","$791,383,417"
Aave,$55.70,"$27,614,628","$790,553,815"
Axie Infinity,$6.86,"$34,108,910","$781,105,637"
Tezos,$0.844189,"$23,840,176","$767,347,077"
TrueUSD,$1.00,"$18,711,087","$756,954,560"
Theta Network,$0.754828,"$8,460,632","$756,231,115"
The Sandbox,$0.473825,"$65,330,877","$744,813,000"
USDD,$0.978215,"$19,389,045","$709,445,663"
Trust Wallet,$1.68,"$115,015,283","$700,243,316"
Chiliz,$0.125551,"$171,077,273","$676,745,570"
KuCoin,$6.47,"$584,004","$632,825,518"
BitTorrent,$0.000000633695,"$4,921,582","$601,002,224"
Decentraland,$0.329305,"$27,702,373","$598,543,429"
Gemini Dollar,$0.991932,"$189,884","$590,086,614"
cUSDC,$0.022702100651,$3.10,"$571,691,109"
WhiteBIT Token,$4.42,"$5,111,624","$571,129,883"
Zcash,$43.22,"$28,263,385","$566,430,748"
PancakeSwap,$3.39,"$26,431,622","$549,305,267"
Aptos,$4.05,"$35,161,587","$527,116,274"
Tokenize Xchange,$6.57,"$16,834,677","$526,138,887"
Fantom,$0.205989,"$62,498,104","$523,660,426"
Chain,$0.024407622037,"$2,075,735","$523,647,828"
Maker,$558.36,"$7,317,547","$502,940,516"
Gate,$3.38,"$190,333","$490,666,823"
eCash,$0.000025396718,"$3,226,110","$488,705,673"
PAX Gold,"$1,793.92","$6,646,651","$485,475,767"
Klaytn,$0.158624,"$16,828,079","$480,392,275"
IOTA,$0.170377,"$6,008,709","$473,560,413"
NEO,$6.70,"$16,983,224","$472,513,302"
Dash,$42.66,"$31,572,487","$471,120,222"
The Graph,$0.058012650842,"$8,382,592","$429,505,390"
Tether Gold,"$1,736.90","$546,822","$428,586,945"
OKC,$23.94,"$3,694,103","$427,324,591"
cDAI,$0.022116285697,$226.35,"$410,161,697"
GMX,$47.13,"$9,665,138","$394,057,882"
THORChain,$1.31,"$39,815,494","$393,201,126"
Osmosis,$0.781532,"$7,890,420","$390,315,572"
Arweave,$7.75,"$10,879,682","$388,763,219"
cETH,$23.74,$78.52,"$386,716,782"
Synthetix Network,$1.60,"$13,954,463","$384,059,928"
Frax Share,$5.28,"$2,399,746","$381,789,666"
Mina Protocol,$0.477714,"$10,376,656","$371,221,185"
Rocket Pool,$19.32,"$1,282,795","$365,856,735"
Curve DAO,$0.553872,"$29,993,027","$359,849,624"
NEXO,$0.640015,"$5,086,538","$358,057,236"
Radix,$0.035559521964,"$201,940","$357,756,960"
BTSE Token,$2.13,"$1,657.13","$344,292,132"
EthereumPoW,$3.05,"$3,599,287","$329,141,248"
Zilliqa,$0.018880490029,"$14,552,167","$320,209,547"
Stacks,$0.235940,"$3,699,248","$318,776,867"
XDC Network,$0.022928841760,"$2,326,859","$317,379,291"
BitDAO,$0.288994,"$2,655,069","$310,707,060"
ImmutableX,$0.421559,"$3,400,886","$308,269,178"
Ethereum Name Service,$11.64,"$13,378,130","$300,260,194"
